#"+EI TIC Scan Aro_1.D "
#Point,X(Minutes),Y(Counts)
682,5.929,0.0672286087216342
683,5.932,0.073519004859331
684,5.936,0.0515026183773923
685,5.939,0.04875057006715
686,5.943,0.0452122222396955
687,5.946,0.0860997971347246
688,5.950,0.0754847536523613
689,5.953,0.100253188444542
690,5.956,0.121483275409269
691,5.960,0.057399864756483
692,5.963,0.064869710169998
693,5.967,0.0656560096872101
694,5.970,0.0794162512384217
695,5.974,0.0888518454449669
696,5.977,0.0798094009970278
697,5.980,0.117551777823208
698,5.984,0.0719464058249068
699,5.987,0.0798094009970278
700,5.991,0.102612086996179
701,5.994,0.0790231014798157
702,5.998,0.090031294720785
703,6.001,0.0955353913412697
704,6.004,0.0868860966519367
705,6.008,0.0479642705499379
706,6.011,0.0644765604113919
707,6.015,0.0680149082388463
708,6.018,0.0931764927896334
709,6.022,0.0495368695843621
710,6.025,0.0629039613769677
711,6.028,0.0912107439966032
712,6.032,0.0577930145150891
713,6.035,0.0511094686187863
714,6.039,0.0664423092044222
715,6.042,0.0625108116183617
716,6.046,0.073125855100725
717,6.049,0.0546478164462407
718,6.052,0.0805957005142399
719,6.056,0.0605450628253314
720,6.059,0.0656560096872101
721,6.063,0.0841340483416943
722,6.066,0.0892449952035729
723,6.070,0.0923901932724213
724,6.073,0.04875057006715
725,6.076,0.0518957681359984
726,6.080,0.0743053043765431
727,6.083,0.0294862318954536
728,6.087,0.0459985217569076
729,6.090,0.0723395555835129
730,6.094,0.0538615169290286
731,6.097,0.0526820676532105
732,6.100,0.0562204154806649
733,6.104,0.11637232854739
734,6.107,0.0802025507556338
735,6.111,0.143892811649814
736,6.114,0.119910676374845
737,6.118,0.124628473478117
738,6.121,0.204437874475145
739,6.124,0.172985893786661
740,6.128,0.203651574957933
741,6.131,0.210335120854236
742,6.135,0.183994087027631
743,6.138,0.130525719857208
744,6.142,0.129739420339996
745,6.145,0.121483275409269
746,6.148,0.0943559420654516
747,6.152,0.102612086996179
748,6.155,0.0998600386859363
749,6.159,0.0931764927896334
750,6.162,0.0790231014798157
751,6.166,0.0790231014798157
752,6.169,0.065262859928604
753,6.172,0.0605450628253314
754,6.176,0.0695875072732705
755,6.179,0.0857066473761185
756,6.183,0.0723395555835129
757,6.186,0.0758779034109673
758,6.190,0.0719464058249068
759,6.193,0.0676217584802403
760,6.196,0.0566135652392709
761,6.200,0.0456053719983016
762,6.203,0.0463916715155137
763,6.207,0.0530752174118165
764,6.210,0.0703738067904826
765,6.214,0.0774505024453915
766,6.217,0.0888518454449669
767,6.220,0.0546478164462407
768,6.224,0.0562204154806649
769,6.227,0.0919970435138153
770,6.231,0.0786299517212097
771,6.234,0.0699806570318766
772,6.238,0.097894289892906
773,6.241,0.121090125650663
774,6.244,0.0876723961691488
775,6.248,0.0990737391687242
776,6.251,0.090031294720785
777,6.255,0.0864929468933306
778,6.258,0.0664423092044222
779,6.262,0.0719464058249068
780,6.265,0.0782368019626036
781,6.268,0.0416738744122411
782,6.272,0.0440327729638774
783,6.275,0.0550409662048468
784,6.279,0.0522889178946044
785,6.282,0.0463916715155137
786,6.286,0.0550409662048468
787,6.289,0.0361697777917564
788,6.292,0.0750916038937552
789,6.296,0.0416738744122411
790,6.299,0.0440327729638774
791,6.303,0.064869710169998
792,6.306,0.0581861642736951
793,6.310,0.0216232367233327
794,6.313,0.0349903285159383
795,6.316,0.0542546666876347
796,6.320,0.0475711207913318
797,6.323,0.0428533236880593
798,6.327,0.0636902608941798
799,6.330,0.0393149758606048
800,6.334,0.0452122222396955
801,6.337,0.0381355265847867
802,6.340,0.0471779710327258
803,6.344,0.0157259903442419
804,6.347,0.0444259227224834
805,6.351,0.0770573526867855
806,6.354,0.0530752174118165
807,6.358,0.0739121546179371
808,6.361,0.0947490918240576
809,6.364,0.040494425136423
810,6.368,0.0577930145150891
811,6.371,0.065262859928604
812,6.375,0.0994668889273302
813,6.378,0.0361697777917564
814,6.382,0.0377423768261806
815,6.385,0.0334177294815141
816,6.388,0.0511094686187863
817,6.392,0.0526820676532105
818,6.395,0.0550409662048468
819,6.399,0.0353834782745443
820,6.402,0.0715532560663008
821,6.406,0.0605450628253314
822,6.409,0.0660491594458161
823,6.412,0.0534683671704226
824,6.416,0.0837408985830883
825,6.419,0.0715532560663008
826,6.423,0.101825787478966
827,6.426,0.0507163188601802
828,6.430,0.0758779034109673
829,6.433,0.0467848212741197
830,6.436,0.0416738744122411
831,6.440,0.0306656811712718
832,6.443,0.073125855100725
833,6.447,0.0298793816540597
834,6.450,0.0448190724810895
835,6.454,0.0562204154806649
836,6.457,0.0699806570318766
837,6.460,0.0798094009970278
838,6.464,0.0605450628253314
839,6.467,0.0613313623425435
840,6.471,0.0860997971347246
841,6.474,0.0196574879303024
842,6.478,0.0353834782745443
843,6.481,0.0471779710327258
844,6.484,0.040887574895029
845,6.488,0.0432464734466653
846,6.491,0.0483574203085439
847,6.495,0.0518957681359984
848,6.498,0.0440327729638774
849,6.502,0.0436396232052714
850,6.505,0.0636902608941798
851,6.508,0.0951422415826637
852,6.512,0.0672286087216342
853,6.515,0.0184780386544843
854,6.519,0.0550409662048468
855,6.522,0.0672286087216342
856,6.526,0.0778436522039976
857,6.529,0.0916038937552092
858,6.532,0.0719464058249068
859,6.536,0.0833477488244822
860,6.539,0.0927833430310274
861,6.543,0.0463916715155137
862,6.546,0.0338108792401201
863,6.550,0.0361697777917564
864,6.553,0.0518957681359984
865,6.556,0.0786299517212097
866,6.560,0.0381355265847867
867,6.563,0.0463916715155137
868,6.567,0.0420670241708472
869,6.570,0.0577930145150891
870,6.574,0.0526820676532105
871,6.577,0.0361697777917564
872,6.580,0.0727327053421189
873,6.584,0.0750916038937552
874,6.587,0.0597587633081193
875,6.591,0.0821682995486641
876,6.594,0.102218937237573
877,6.598,0.107723033858057
878,6.601,0.130525719857208
879,6.604,0.136816115994905
880,6.608,0.134064067684662
881,6.611,0.116765478305996
882,6.615,0.0475711207913318
883,6.618,0.0420670241708472
884,6.622,0.0684080579974524
885,6.625,0.0719464058249068
886,6.628,0.0680149082388463
887,6.632,0.065262859928604
888,6.635,0.0518957681359984
889,6.639,0.0381355265847867
890,6.642,0.0589724637909072
891,6.646,0.0416738744122411
892,6.649,0.0483574203085439
893,6.652,0.0290930821368476
894,6.656,0.0754847536523613
895,6.659,0.0971079903756939
896,6.663,0.0522889178946044
897,6.666,0.0625108116183617
898,6.670,0.0994668889273302
899,6.673,0.032631429964302
900,6.676,0.0562204154806649
901,6.680,0.0762710531695734
902,6.683,0.0967148406170879
903,6.687,0.0515026183773923
904,6.690,0.123055874443693
905,6.694,0.0668354589630282
906,6.697,0.0676217584802403
907,6.700,0.0994668889273302
908,6.704,0.12934627058139
909,6.707,0.103791536271997
910,6.711,0.0975011401343
911,6.714,0.0923901932724213
912,6.718,0.0857066473761185
913,6.721,0.090031294720785
914,6.724,0.073125855100725
915,6.728,0.0416738744122411
916,6.731,0.0857066473761185
917,6.735,0.0629039613769677
918,6.738,0.0345971787573322
919,6.742,0.016512289861454
920,6.745,0.0357766280331504
921,6.748,0.0640834106527859
922,6.752,0.0345971787573322
923,6.755,0.0597587633081193
924,6.759,0.0255547343093931
925,6.762,0.0774505024453915
926,6.766,0.0310588309298778
927,6.769,0.0420670241708472
928,6.772,0.0283067826196355
929,6.776,0.0613313623425435
930,6.779,0.0912107439966032
931,6.783,0.0597587633081193
932,6.786,0.0428533236880593
933,6.790,0.0231958357577568
934,6.793,0.0585793140323012
935,6.796,0.0522889178946044
936,6.800,0.0251615845507871
937,6.803,0.0743053043765431
938,6.807,0.049143719825756
939,6.810,0.0739121546179371
940,6.814,0.089638144962179
941,6.817,0.0518957681359984
942,6.820,0.0676217584802403
943,6.824,0.073125855100725
944,6.827,0.0436396232052714
945,6.831,0.0656560096872101
946,6.834,0.0503231691015742
947,6.838,0.0605450628253314
948,6.841,0.0668354589630282
949,6.844,0.0522889178946044
950,6.848,0.0593656135495133
