#"+EI TIC Scan Mix_Terpene.D "
#Point,X(Minutes),Y(Counts)
452,5.140,0.0851658474523245
453,5.144,0.0385853431314613
454,5.147,0.101156169831128
455,5.151,0.089337235898969
456,5.154,0.0549232812141521
457,5.157,0.0813420747095671
458,5.161,0.0813420747095671
459,5.164,0.0462328886169762
460,5.168,0.0410186530586706
461,5.171,0.0771706862629226
462,5.175,0.0837753846367763
463,5.178,0.053880434102491
464,5.181,0.112975103763288
465,5.185,0.11853695502548
466,5.188,0.158860376676377
467,5.192,0.167550769273553
468,5.195,0.224907360414914
469,5.199,0.206483728108901
470,5.202,0.237769141458735
471,5.205,0.183193475948469
472,5.209,0.179369703205712
473,5.212,0.139046281554816
474,5.216,0.126184500510995
475,5.219,0.131746351773188
476,5.223,0.0945514714572745
477,5.226,0.122708343472125
478,5.229,0.151560446894749
479,5.233,0.123403574879899
480,5.236,0.108803715316643
481,5.240,0.119579802137141
482,5.243,0.138698665850928
483,5.247,0.0928133929378394
484,5.250,0.089684851602856
485,5.253,0.0928133929378394
486,5.257,0.0507518927675077
487,5.260,0.080299227597906
488,5.264,0.0729992978162781
489,5.267,0.044494810097541
490,5.271,0.089684851602856
491,5.274,0.0698707564812948
492,5.277,0.0754326077434874
493,5.281,0.0952467028650486
494,5.284,0.0611803638841188
495,5.288,0.0736945292240522
496,5.291,0.107413252501095
497,5.295,0.140089128666477
498,5.298,0.123403574879899
499,5.301,0.157469913860829
500,5.305,0.195707641288403
501,5.308,0.162684149419134
502,5.312,0.203355186773918
503,5.315,0.166507922161892
504,5.319,0.192231484249532
505,5.322,0.124098806287673
506,5.325,0.145303364224782
507,5.329,0.111584640947739
508,5.332,0.106370405389434
509,5.336,0.0695231407774078
510,5.339,0.103241864054451
511,5.343,0.0959419342728227
512,5.346,0.0924657772339523
513,5.349,0.100460938423354
514,5.353,0.0594422853646836
515,5.356,0.0736945292240522
516,5.360,0.111932256651626
517,5.363,0.143565285705347
518,5.367,0.190493405730097
519,5.370,0.38967720405737
520,5.373,0.920138768188992
521,5.377,2.19901694278941
522,5.380,4.98411396233236
523,5.384,10.2424967150316
524,5.387,19.5273121658544
525,5.391,32.3751885815194
526,5.394,48.3787203570708
527,5.397,64.1980158095622
528,5.401,77.3830794579976
529,5.404,81.9869018402775
530,5.408,77.0431112995961
531,5.411,64.6328830551249
532,5.415,48.8094162141869
533,5.418,32.924073777957
534,5.421,20.5795449015205
535,5.425,11.9781419245396
536,5.428,6.41177165819643
537,5.432,3.33259175316504
538,5.435,1.7620640030034
539,5.439,1.04249949595723
540,5.442,0.649346134860988
541,5.445,0.522466402942219
542,5.449,0.428262547188832
543,5.452,0.344139546848168
544,5.456,0.377858270125211
545,5.459,0.372296418863019
546,5.463,0.368125030416374
547,5.466,0.340315774105411
548,5.469,0.240550067089831
549,5.473,0.250630922502555
550,5.476,0.214131273594416
551,5.480,0.196750488400064
552,5.483,0.186322017283453
553,5.487,0.195707641288403
554,5.490,0.192926715657307
555,5.493,0.181107781725147
556,5.497,0.14912713696754
557,5.500,0.156774682453054
558,5.504,0.16789838497744
559,5.507,0.195707641288403
560,5.511,0.180064934613486
561,5.514,0.289216265634016
562,5.517,0.369863108935809
563,5.521,0.552013737772618
564,5.524,0.94620994598052
565,5.528,1.4912713696754
566,5.531,2.07908952494838
567,5.535,2.60329400641003
568,5.538,3.01035199566176
569,5.541,3.21753095517843
570,5.545,3.09065122325966
571,5.548,2.62727948997824
572,5.552,1.99288083038439
573,5.555,1.53298525414184
574,5.559,0.967414503917629
575,5.562,0.670203077094211
576,5.565,0.436952939786008
577,5.569,0.245764302648136
578,5.572,0.207874190924449
579,5.576,0.206136112405014
580,5.579,0.154688988229732
581,5.583,0.118884570729367
582,5.586,0.118189339321593
583,5.589,0.106370405389434
584,5.593,0.144260517113121
585,5.596,0.182845860244582
586,5.600,0.187364864395114
587,5.603,0.179369703205712
588,5.607,0.267316476289133
589,5.610,0.306597050828368
590,5.613,0.303816125197272
591,5.617,0.414010303329463
592,5.620,0.358391790707537
593,5.624,0.302078046677837
594,5.627,0.262797472138601
595,5.631,0.230816827380994
596,5.634,0.226993054638236
597,5.637,0.345530009663717
598,5.641,0.835668152144441
599,5.644,2.14896028142967
600,5.648,5.27054930233528
601,5.651,11.8832428373784
602,5.655,22.3857560989175
603,5.658,38.2349465019432
604,5.661,56.7715539117195
605,5.665,76.6412675459027
606,5.668,91.5543288583605
607,5.672,99.7239931311137
608,5.675,100
609,5.679,91.4396156760778
610,5.682,75.784742451525
611,5.685,58.2631728970988
612,5.689,42.5756237963806
613,5.692,28.2660233458707
614,5.696,17.691553633627
615,5.699,10.7934676056926
616,5.703,6.34885321579288
617,5.706,3.59399876248809
618,5.709,2.02938047929253
619,5.713,1.17007445928377
620,5.716,0.689669556511885
621,5.720,0.422700695926639
622,5.723,0.328149224469365
623,5.727,0.263145087842488
624,5.730,0.23950721997817
625,5.733,0.22073597196827
626,5.737,0.169984079200762
627,5.740,0.169288847792988
628,5.744,0.187017248691227
629,5.747,0.168246000681327
630,5.751,0.175198314759068
631,5.754,0.158860376676377
632,5.757,0.150865215486975
633,5.761,0.168593616385214
634,5.764,0.112975103763288
635,5.768,0.111584640947739
636,5.771,0.13730820303538
637,5.775,0.149474752671427
638,5.778,0.111237025243852
639,5.781,0.134179661700397
640,5.785,0.109498946724417
641,5.788,0.107760868204982
642,5.792,0.107760868204982
643,5.795,0.0910753144184042
644,5.799,0.115756029394384
645,5.802,0.119232186433254
646,5.805,0.0820373061173412
647,5.809,0.120970264952689
648,5.812,0.136612971627606
649,5.816,0.0994180913116931
650,5.819,0.108108483908869
651,5.823,0.080299227597906
652,5.826,0.0855134631562115
653,5.829,0.0733469135201652
654,5.833,0.111584640947739
655,5.836,0.103589479758338
